Código Postal,Estado,Municipio,Ciudad,Tipo de Asentamiento,Asentamiento
44100,Jalisco,Guadalajara,Guadalajara,Colonia,Guadalajara Centro
44110,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Vallarta Poniente
44130,Jalisco,Guadalajara,Guadalajara,Colonia,Arcos Vallarta
44130,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Arcos
44140,Jalisco,Guadalajara,Guadalajara,Colonia,Obrera Centro
44150,Jalisco,Guadalajara,Guadalajara,Colonia,Barrera
44150,Jalisco,Guadalajara,Guadalajara,Colonia,Lafayette
44158,Jalisco,Guadalajara,Guadalajara,Colonia,Deitz
44160,Jalisco,Guadalajara,Guadalajara,Colonia,Americana
44170,Jalisco,Guadalajara,Guadalajara,Barrio,San Antonio
44180,Jalisco,Guadalajara,Guadalajara,Barrio,Mexicaltzingo
44190,Jalisco,Guadalajara,Guadalajara,Colonia,Moderna
44200,Jalisco,Guadalajara,Guadalajara,Colonia,Artesanos
44200,Jalisco,Guadalajara,Guadalajara,Barrio,El Santuario
44200,Jalisco,Guadalajara,Guadalajara,Barrio,Capilla de Jesús
44200,Jalisco,Guadalajara,Guadalajara,Barrio,Sagrada Familia
44210,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines del Country
44210,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Jardines del Country 2a. Sección
44214,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Universidad
44215,Jalisco,Guadalajara,Guadalajara,Condominio,Parían
44216,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Del Trabajo CTM
44216,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Fidel Velázquez
44217,Jalisco,Guadalajara,Guadalajara,Conjunto habitacional,Residencial Vallarta Country
44218,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Fabrica de Atemajac
44219,Jalisco,Guadalajara,Guadalajara,Unidad habitacional,Casa Hogar CTM
44220,Jalisco,Guadalajara,Guadalajara,Colonia,Circunvalación Metro Carballo
44220,Jalisco,Guadalajara,Guadalajara,Colonia,Guadalupana Sur
44220,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Santa Elena Alcalde Oriente
44220,Jalisco,Guadalajara,Guadalajara,Fraccionamiento,Santa Mónica
