,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Guadalajara Centro,20.6763989,-103.3479102,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,University
1,Guadalajara Centro,20.6763989,-103.3479102,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,University
2,Guadalajara Centro,20.6763989,-103.3479102,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,University
3,Obrera Centro,20.6700079,-103.3719172,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,University
4,Obrera Centro,20.6700079,-103.3719172,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,University
5,Obrera Centro,20.6700079,-103.3719172,infierno,20.67120781649323,-103.37021062348266,University
6,Americana,20.6721658,-103.3643856,Hard to Find,20.67247986930887,-103.36281542271946,University
7,Americana,20.6721658,-103.3643856,Escuela patagonica gastronomica,20.673034327478305,-103.3646430296326,University
8,Americana,20.6721658,-103.3643856,PATAGONICA escuela de alta cocina internacional,20.672845498345087,-103.36460633126796,University
9,La Normal,20.6955306,-103.350486,DELEM,20.69381714840882,-103.34984806477507,University
10,La Normal,20.6955306,-103.350486,Centro Universitario de Ciencias Sociales y Humanidades (CUCSH),20.693682294720535,-103.34979730346734,University
11,La Normal,20.6955306,-103.350486,Estudios Políticos y Gobierno,20.693743663272052,-103.35061187827608,University
12,Niños Héroes,20.662732,-103.360143,Centro interinstiticional de Investigacion Educativa,20.66201218240576,-103.36052531036233,University
13,Niños Héroes,20.662732,-103.360143,Universidad de Medios Audiovisuales (CAAV Godard),20.662424697148293,-103.35946039401414,University
14,Fray Antonio Alcalde,20.68056,-103.364871,la maroma . Formación en Circo y Teatro Fisico,20.679109,-103.366332,College Theater
15,Alcalde Barranquitas,20.693562,-103.3483422,Feria Del Empleo,20.693923,-103.34859,University
16,Alcalde Barranquitas,20.693562,-103.3483422,Centro Universitario de Ciencias Sociales y Humanidades (CUCSH),20.693682294720535,-103.34979730346734,University
17,Alcalde Barranquitas,20.693562,-103.3483422,DELEM,20.69381714840882,-103.34984806477507,University
18,Alcalde Barranquitas,20.693562,-103.3483422,Benemérita y Centenaria Escuela Normal de Jalisco,20.695292415334688,-103.34700546277622,University
19,Alcalde Barranquitas,20.693562,-103.3483422,Estudios Políticos y Gobierno,20.693743663272052,-103.35061187827608,University
20,La Perla,20.6808736,-103.3365818,Universidad Univer,20.68117436612465,-103.33876002094651,University
21,La Divina Providencia,20.730180400000002,-103.32335510393855,Unidad de Becas e Intercambios,20.72891398372536,-103.32515790532014,University
22,Obrera,20.6700079,-103.3719172,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,University
23,Obrera,20.6700079,-103.3719172,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,University
24,Obrera,20.6700079,-103.3719172,infierno,20.67120781649323,-103.37021062348266,University
25,Barragán y Hernández,20.6709405,-103.3699886,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,University
26,Barragán y Hernández,20.6709405,-103.3699886,Universidad de Medios Audiovisuales (CAAV Greenaway),20.67118607410076,-103.36971752083578,University
27,Barragán y Hernández,20.6709405,-103.3699886,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,University
28,Barragán y Hernández,20.6709405,-103.3699886,Universidad Lamar,20.670854972058475,-103.36760054227962,University
29,Jardines de los Arcos,20.6693611,-103.3986009,IFLY Escuela de Vuelo,20.668843037755583,-103.40008507172065,University
30,Vallarta Cuauhtémoc,20.6728343,-103.3997596,Colegio N Inglaterra,20.6734707049388,-103.39773627215612,University
31,Jardines del Bosque Centro,20.6632852,-103.3852897,Instituto de Especialización para Ejecutivos,20.66306,-103.38484,University
32,Jardines del Bosque Centro,20.6632852,-103.3852897,Universidad Virtual de Estudios Superiores,20.662310574996315,-103.38705026732589,University
33,Ladrón de Guevara,20.6760789,-103.3779083,Proulex Computación,20.677371883184406,-103.37833441943756,University
34,Ladrón de Guevara,20.6760789,-103.3779083,Colegio Gastronómico Internacional CGI,20.675616239352667,-103.37625779540704,University
35,Ladrón de Guevara,20.6760789,-103.3779083,Instituto Gastrnomico Corbuse,20.67406613425445,-103.37866775697863,University
36,Country Club,20.7032543,-103.3705797,Univer Mar Egeo,20.70333716429442,-103.36941314250294,University
37,Providencia,20.6974975,-103.3859523,cdm,20.69670099670815,-103.38677946149977,University
38,Rojas Ladrón de Guevara,20.6809903,-103.3790304,Escuela de Bio-decodificacion,20.681018829345703,-103.37946319580078,University
39,Jesús Garcia,20.6891736,-103.3457534,Uteg,20.68883702237341,-103.34785146862751,University
40,Providencia Sur,20.697276,-103.390631,iiM instituto integral de maquille,20.69572,-103.391182,University
41,Providencia Sur,20.697276,-103.390631,Escuela Superior de Educacion Fisica,20.698038260436203,-103.39056515337624,University
42,Providencia Sur,20.697276,-103.390631,iiM instituto integral de maquillaje,20.695635,-103.391418,University
43,Prados de Providencia,20.685191850000002,-103.38266594104167,Universidad Nueva Galicia,20.684221267700195,-103.38108825683594,University
44,Circunvalación Guevara,20.6829842,-103.3824761,Universidad Nueva Galicia,20.684221267700195,-103.38108825683594,University
45,Vallarta Norte,20.6778651,-103.3876689,Imainarte CIDMI,20.676944732666016,-103.38733673095703,University
46,Vallarta Norte,20.6778651,-103.3876689,Centro Internacional de Innovación en Diseño,20.67679561642344,-103.38737728575076,University
47,Vallarta Norte,20.6778651,-103.3876689,Av Talento Formacion Artistica,20.677353542767516,-103.38905311991263,University
