,index,University,University Latitude,University Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,0,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,Librería Porrúa,20.672832800053463,-103.350722290479,Bookstore
1,1,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,Gonvill,20.677940408274974,-103.34690337847101,Bookstore
2,2,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,Gonvill,20.675131908582294,-103.34759573257539,Bookstore
3,3,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,Librerias Gonvill,20.67654678108136,-103.35033385400473,Bookstore
4,4,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,Feria Municipal del Libro de Guadalajara,20.677513451176978,-103.34802503857998,Bookstore
5,5,Centro Universitario Azteca,20.675164219178566,-103.3479347877128,Librería Euro Book México,20.6728751,-103.34638910000001,Bookstore
6,6,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,Librería Porrúa,20.672832800053463,-103.350722290479,Bookstore
7,7,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,Gonvill,20.677940408274974,-103.34690337847101,Bookstore
8,8,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,Gonvill,20.675131908582294,-103.34759573257539,Bookstore
9,9,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,Librerias Gonvill,20.67654678108136,-103.35033385400473,Bookstore
10,10,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,Feria Municipal del Libro de Guadalajara,20.677513451176978,-103.34802503857998,Bookstore
11,11,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,Librería Euro Book México,20.6728751,-103.34638910000001,Bookstore
12,12,Universidad De Especialidades Plantel Centro (UNE),20.675511328467124,-103.34877490997314,Librería Mariano Azuela,20.67450545034118,-103.35317579473839,Bookstore
13,13,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,Librería Porrúa,20.672832800053463,-103.350722290479,Bookstore
14,14,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,Gonvill,20.677940408274974,-103.34690337847101,Bookstore
15,15,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,Gonvill,20.675131908582294,-103.34759573257539,Bookstore
16,16,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,Librerias Gonvill,20.67654678108136,-103.35033385400473,Bookstore
17,17,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,Librería Euro Book México,20.6728751,-103.34638910000001,Bookstore
18,18,Universidad De La Cienega Centro,20.674938480338028,-103.34752971640694,Feria Municipal del Libro de Guadalajara,20.677513451176978,-103.34802503857998,Bookstore
19,19,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Gandhi,20.673539115427836,-103.37106988941142,Bookstore
20,20,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Fondo de Cultura Económica,20.673034669522487,-103.3686800833258,Bookstore
21,21,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Gonvill,20.673904286757608,-103.36872144146353,Bookstore
22,22,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Tarots Del Mundo,20.674595936415912,-103.37017677719209,Bookstore
23,23,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Librerías Gonvill,20.67380317651551,-103.36875148047629,Bookstore
24,24,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,Librería de viejo,20.670206835429763,-103.36857472972508,Bookstore
25,25,Universidad de Medios Audiovisuales (CAAV Gance),20.671262153232693,-103.37042557060295,El Crisol de la Psicologia,20.673680285861032,-103.36974805828991,Bookstore
26,26,Universidad de Medios Audiovisuales (CAAV),20.671252779478372,-103.3703334073802,Gandhi,20.673539115427836,-103.37106988941142,Bookstore
